FIRE_YEAR,MONTH,frequency
2006,1,9805
2006,2,8277
2006,3,18923
2006,4,15901
2006,5,8343
2006,6,10884
2006,7,15267
2006,8,10993
2006,9,4870
2006,10,4208
2006,11,3119
2006,12,3414
2007,1,3222
2007,2,8387
2007,3,14098
2007,4,10578
2007,5,10291
2007,6,8331
2007,7,12084
2007,8,9746
2007,9,6455
2007,10,4734
2007,11,4234
2007,12,3413
2008,1,5580
2008,2,6985
2008,3,9876
2008,4,10952
2008,5,7146
2008,6,10085
2008,7,10107
2008,8,8430
2008,9,4200
2008,10,4543
2008,11,4693
2008,12,2781
2009,1,6129
2009,2,9500
2009,3,12344
2009,4,11056
2009,5,5920
2009,6,5814
2009,7,10460
2009,8,6722
2009,9,4608
2009,10,1850
2009,11,2930
2009,12,992
2010,1,2312
2010,2,2924
2010,3,9423
2010,4,11527
2010,5,5180
2010,6,5654
2010,7,9144
2010,8,8164
2010,9,7637
2010,10,8717
2010,11,4758
2010,12,4449
2011,1,5227
2011,2,10324
2011,3,9481
2011,4,8658
2011,5,6846
2011,6,9453
2011,7,10633
2011,8,11470
2011,9,7984
2011,10,4563
2011,11,3627
2011,12,2286
2012,1,4323
2012,2,3854
2012,3,8131
2012,4,7839
2012,5,5763
2012,6,7285
2012,7,11921
2012,8,8218
2012,9,5015
2012,10,3704
2012,11,4698
2012,12,2018
2013,1,3150
2013,2,3255
2013,3,8675
2013,4,7523
2013,5,7291
2013,6,5722
2013,7,8194
2013,8,8292
2013,9,4615
2013,10,2598
2013,11,3818
2013,12,1647
2014,1,6011
2014,2,4365
2014,3,9177
2014,4,9850
2014,5,6339
2014,6,4603
2014,7,8710
2014,8,6638
2014,9,3175
2014,10,3077
2014,11,4021
2014,12,1787
2015,1,4265
2015,2,5214
2015,3,8046
2015,4,9066
2015,5,8044
2015,6,6409
2015,7,8665
2015,8,8407
2015,9,5523
2015,10,5992
2015,11,3296
2015,12,1564
