Date,STATE,frequency
Apr 1992,Alabama,18
Apr 1992,Alaska,20
Apr 1992,Arizona,252
Apr 1992,Arkansas,24
Apr 1992,California,259
Apr 1992,Colorado,122
Apr 1992,Connecticut,65
Apr 1992,Delaware,2
Apr 1992,Florida,496
Apr 1992,Georgia,843
Apr 1992,Hawaii,8
Apr 1992,Idaho,22
Apr 1992,Illinois,5
Apr 1992,Indiana,10
Apr 1992,Iowa,1
Apr 1992,Kansas,6
Apr 1992,Kentucky,10
Apr 1992,Louisiana,5
Apr 1992,Maine,151
Apr 1992,Massachusetts,1
Apr 1992,Michigan,77
Apr 1992,Minnesota,568
Apr 1992,Mississippi,519
Apr 1992,Missouri,462
Apr 1992,Montana,91
Apr 1992,Nebraska,7
Apr 1992,Nevada,10
Apr 1992,New Hampshire,45
Apr 1992,New Jersey,342
Apr 1992,New Mexico,107
Apr 1992,New York,132
Apr 1992,North Carolina,1154
Apr 1992,North Dakota,102
Apr 1992,Ohio,9
Apr 1992,Oklahoma,202
Apr 1992,Oregon,28
Apr 1992,Pennsylvania,5
Apr 1992,Puerto Rico,3
Apr 1992,South Carolina,917
Apr 1992,South Dakota,68
Apr 1992,Tennessee,6
Apr 1992,Texas,37
Apr 1992,Utah,20
Apr 1992,Virginia,8
Apr 1992,Washington,53
Apr 1992,West Virginia,151
Apr 1992,Wisconsin,311
Apr 1992,Wyoming,56
Apr 1993,Alabama,14
Apr 1993,Alaska,32
Apr 1993,Arizona,270
Apr 1993,Arkansas,22
Apr 1993,California,201
Apr 1993,Colorado,87
Apr 1993,Connecticut,24
Apr 1993,Florida,440
Apr 1993,Georgia,950
Apr 1993,Hawaii,1
Apr 1993,Idaho,6
Apr 1993,Indiana,17
Apr 1993,Iowa,1
Apr 1993,Kansas,8
Apr 1993,Kentucky,23
Apr 1993,Louisiana,7
Apr 1993,Maine,126
Apr 1993,Michigan,95
Apr 1993,Minnesota,957
Apr 1993,Mississippi,332
Apr 1993,Missouri,244
Apr 1993,Montana,93
Apr 1993,Nebraska,6
Apr 1993,Nevada,5
Apr 1993,New Hampshire,34
Apr 1993,New Jersey,109
Apr 1993,New Mexico,153
Apr 1993,New York,58
Apr 1993,North Carolina,713
Apr 1993,North Dakota,152
Apr 1993,Ohio,4
Apr 1993,Oklahoma,333
Apr 1993,Oregon,2
Apr 1993,Pennsylvania,3
Apr 1993,South Carolina,592
Apr 1993,South Dakota,59
Apr 1993,Tennessee,20
Apr 1993,Texas,73
Apr 1993,Utah,6
Apr 1993,Virginia,6
Apr 1993,Washington,10
Apr 1993,West Virginia,212
Apr 1993,Wisconsin,413
Apr 1993,Wyoming,13
Apr 1994,Alabama,264
Apr 1994,Alaska,19
Apr 1994,Arizona,280
Apr 1994,Arkansas,27
Apr 1994,California,332
Apr 1994,Colorado,117
Apr 1994,Connecticut,99
Apr 1994,District of Columbia,2
Apr 1994,Florida,467
Apr 1994,Georgia,782
Apr 1994,Idaho,33
Apr 1994,Illinois,6
Apr 1994,Indiana,17
Apr 1994,Iowa,4
Apr 1994,Kansas,10
Apr 1994,Kentucky,25
Apr 1994,Louisiana,5
Apr 1994,Maine,128
Apr 1994,Maryland,2
Apr 1994,Michigan,346
Apr 1994,Minnesota,1216
Apr 1994,Mississippi,283
Apr 1994,Missouri,213
Apr 1994,Montana,156
Apr 1994,Nebraska,24
Apr 1994,Nevada,11
Apr 1994,New Hampshire,44
Apr 1994,New Jersey,443
Apr 1994,New Mexico,267
Apr 1994,New York,55
Apr 1994,North Carolina,1175
Apr 1994,North Dakota,248
Apr 1994,Ohio,2
Apr 1994,Oklahoma,256
Apr 1994,Oregon,31
Apr 1994,Pennsylvania,9
Apr 1994,South Carolina,684
Apr 1994,South Dakota,126
Apr 1994,Tennessee,11
Apr 1994,Texas,83
Apr 1994,Utah,22
Apr 1994,Vermont,2
Apr 1994,Virginia,15
Apr 1994,Washington,52
Apr 1994,West Virginia,229
Apr 1994,Wisconsin,890
Apr 1994,Wyoming,49
Apr 1995,Alabama,602
Apr 1995,Alaska,71
Apr 1995,Arizona,260
Apr 1995,Arkansas,25
Apr 1995,California,103
Apr 1995,Colorado,47
Apr 1995,Connecticut,27
Apr 1995,Delaware,1
Apr 1995,District of Columbia,1
Apr 1995,Florida,260
Apr 1995,Georgia,1263
Apr 1995,Idaho,14
Apr 1995,Illinois,8
Apr 1995,Indiana,14
Apr 1995,Iowa,4
Apr 1995,Kansas,5
Apr 1995,Kentucky,77
Apr 1995,Louisiana,2
Apr 1995,Maine,208
Apr 1995,Maryland,7
Apr 1995,Massachusetts,4
Apr 1995,Michigan,177
Apr 1995,Minnesota,730
Apr 1995,Mississippi,426
Apr 1995,Missouri,382
Apr 1995,Montana,66
Apr 1995,Nebraska,7
Apr 1995,Nevada,9
Apr 1995,New Hampshire,51
Apr 1995,New Jersey,543
Apr 1995,New Mexico,152
Apr 1995,New York,87
Apr 1995,North Carolina,1491
Apr 1995,North Dakota,80
Apr 1995,Ohio,25
Apr 1995,Oklahoma,188
Apr 1995,Oregon,34
Apr 1995,Pennsylvania,7
Apr 1995,South Carolina,834
Apr 1995,South Dakota,30
Apr 1995,Tennessee,52
Apr 1995,Texas,43
Apr 1995,Utah,5
Apr 1995,Virginia,512
Apr 1995,Washington,50
Apr 1995,West Virginia,510
Apr 1995,Wisconsin,577
Apr 1995,Wyoming,18
Apr 1996,Alabama,541
Apr 1996,Alaska,47
Apr 1996,Arizona,355
Apr 1996,Arkansas,55
Apr 1996,California,488
Apr 1996,Colorado,33
Apr 1996,Connecticut,9
Apr 1996,Florida,434
Apr 1996,Georgia,1374
Apr 1996,Idaho,11
Apr 1996,Illinois,8
Apr 1996,Indiana,29
Apr 1996,Iowa,20
Apr 1996,Kansas,15
Apr 1996,Kentucky,36
Apr 1996,Louisiana,9
Apr 1996,Maine,76
Apr 1996,Maryland,1
Apr 1996,Massachusetts,1
Apr 1996,Michigan,107
Apr 1996,Minnesota,452
Apr 1996,Mississippi,655
Apr 1996,Missouri,65
Apr 1996,Montana,82
Apr 1996,Nebraska,13
Apr 1996,Nevada,16
Apr 1996,New Hampshire,14
Apr 1996,New Jersey,233
Apr 1996,New Mexico,250
Apr 1996,New York,33
Apr 1996,North Carolina,1178
Apr 1996,North Dakota,125
Apr 1996,Ohio,6
Apr 1996,Oklahoma,535
Apr 1996,Oregon,14
Apr 1996,Pennsylvania,3
Apr 1996,South Carolina,762
Apr 1996,South Dakota,92
Apr 1996,Tennessee,14
Apr 1996,Texas,470
Apr 1996,Utah,59
Apr 1996,Virginia,378
Apr 1996,Washington,8
Apr 1996,West Virginia,320
Apr 1996,Wisconsin,529
Apr 1996,Wyoming,80
Apr 1997,Alabama,417
Apr 1997,Alaska,57
Apr 1997,Arizona,77
Apr 1997,Arkansas,146
Apr 1997,California,572
Apr 1997,Colorado,5
Apr 1997,Connecticut,39
Apr 1997,Florida,430
Apr 1997,Georgia,1176
Apr 1997,Hawaii,4
Apr 1997,Idaho,8
Apr 1997,Illinois,4
Apr 1997,Indiana,11
Apr 1997,Iowa,8
Apr 1997,Kansas,3
Apr 1997,Kentucky,257
Apr 1997,Louisiana,64
Apr 1997,Maine,193
Apr 1997,Michigan,46
Apr 1997,Minnesota,1369
Apr 1997,Mississippi,334
Apr 1997,Missouri,331
Apr 1997,Montana,39
Apr 1997,Nebraska,1
Apr 1997,Nevada,10
Apr 1997,New Hampshire,27
Apr 1997,New Jersey,275
Apr 1997,New Mexico,92
Apr 1997,New York,124
Apr 1997,North Carolina,1025
Apr 1997,North Dakota,107
Apr 1997,Ohio,11
Apr 1997,Oklahoma,138
Apr 1997,Oregon,19
Apr 1997,Pennsylvania,4
Apr 1997,Puerto Rico,2
Apr 1997,South Carolina,584
Apr 1997,South Dakota,46
Apr 1997,Tennessee,380
Apr 1997,Texas,33
Apr 1997,Utah,5
Apr 1997,Virginia,346
Apr 1997,Washington,39
Apr 1997,West Virginia,270
Apr 1997,Wisconsin,887
Apr 1997,Wyoming,3
Apr 1998,Alabama,151
Apr 1998,Alaska,94
Apr 1998,Arizona,93
Apr 1998,Arkansas,189
Apr 1998,California,121
Apr 1998,Colorado,7
Apr 1998,Connecticut,13
Apr 1998,District of Columbia,1
Apr 1998,Florida,491
Apr 1998,Georgia,419
Apr 1998,Hawaii,1
Apr 1998,Idaho,10
Apr 1998,Illinois,3
Apr 1998,Indiana,11
Apr 1998,Kansas,9
Apr 1998,Kentucky,94
Apr 1998,Louisiana,232
Apr 1998,Maine,245
Apr 1998,Michigan,58
Apr 1998,Minnesota,1598
Apr 1998,Mississippi,251
Apr 1998,Missouri,221
Apr 1998,Montana,166
Apr 1998,Nebraska,3
Apr 1998,Nevada,6
Apr 1998,New Hampshire,68
Apr 1998,New Jersey,208
Apr 1998,New Mexico,110
Apr 1998,New York,111
Apr 1998,North Carolina,409
Apr 1998,North Dakota,246
Apr 1998,Ohio,2
Apr 1998,Oklahoma,166
Apr 1998,Oregon,31
Apr 1998,Pennsylvania,2
Apr 1998,South Carolina,209
Apr 1998,South Dakota,141
Apr 1998,Tennessee,149
Apr 1998,Texas,130
Apr 1998,Utah,9
Apr 1998,Vermont,1
Apr 1998,Virginia,162
Apr 1998,Washington,53
Apr 1998,West Virginia,155
Apr 1998,Wisconsin,766
Apr 1998,Wyoming,4
Apr 1999,Alabama,565
Apr 1999,Alaska,37
Apr 1999,Arizona,122
Apr 1999,Arkansas,85
Apr 1999,California,304
Apr 1999,Colorado,14
Apr 1999,Connecticut,98
Apr 1999,Delaware,1
Apr 1999,District of Columbia,2
Apr 1999,Florida,941
Apr 1999,Georgia,1445
Apr 1999,Hawaii,1
Apr 1999,Idaho,30
Apr 1999,Illinois,1
Apr 1999,Indiana,9
Apr 1999,Iowa,3
Apr 1999,Kansas,10
Apr 1999,Kentucky,330
Apr 1999,Louisiana,151
Apr 1999,Maine,260
Apr 1999,Maryland,1
Apr 1999,Michigan,37
Apr 1999,Minnesota,1070
Apr 1999,Mississippi,417
Apr 1999,Missouri,22
Apr 1999,Montana,110
Apr 1999,Nebraska,12
Apr 1999,Nevada,12
Apr 1999,New Jersey,289
Apr 1999,New Mexico,138
Apr 1999,New York,230
Apr 1999,North Carolina,890
Apr 1999,North Dakota,123
Apr 1999,Ohio,6
Apr 1999,Oklahoma,87
Apr 1999,Oregon,61
Apr 1999,Pennsylvania,6
Apr 1999,South Carolina,800
Apr 1999,South Dakota,77
Apr 1999,Tennessee,417
Apr 1999,Texas,39
Apr 1999,Utah,16
Apr 1999,Vermont,1
Apr 1999,Virginia,338
Apr 1999,Washington,104
Apr 1999,West Virginia,398
Apr 1999,Wisconsin,408
Apr 1999,Wyoming,2
Apr 2000,Alabama,244
Apr 2000,Alaska,15
Apr 2000,Arizona,219
Apr 2000,Arkansas,183
Apr 2000,California,287
Apr 2000,Colorado,37
Apr 2000,Connecticut,48
Apr 2000,Florida,583
Apr 2000,Georgia,718
Apr 2000,Idaho,22
Apr 2000,Illinois,8
Apr 2000,Indiana,15
Apr 2000,Iowa,3
Apr 2000,Kansas,12
Apr 2000,Kentucky,160
Apr 2000,Louisiana,153
Apr 2000,Maine,97
Apr 2000,Maryland,1
Apr 2000,Michigan,39
Apr 2000,Minnesota,1144
Apr 2000,Mississippi,238
Apr 2000,Missouri,171
Apr 2000,Montana,124
Apr 2000,Nebraska,2
Apr 2000,Nevada,18
Apr 2000,New Hampshire,42
Apr 2000,New Jersey,154
Apr 2000,New Mexico,226
Apr 2000,New York,256
Apr 2000,North Carolina,512
Apr 2000,North Dakota,219
Apr 2000,Ohio,2
Apr 2000,Oklahoma,135
Apr 2000,Oregon,41
Apr 2000,Pennsylvania,7
Apr 2000,South Carolina,407
Apr 2000,South Dakota,282
Apr 2000,Tennessee,198
Apr 2000,Texas,89
Apr 2000,Utah,25
Apr 2000,Virginia,126
Apr 2000,Washington,69
Apr 2000,West Virginia,183
Apr 2000,Wisconsin,584
Apr 2000,Wyoming,11
Apr 2001,Alabama,316
Apr 2001,Alaska,28
Apr 2001,Arizona,101
Apr 2001,Arkansas,137
Apr 2001,California,161
Apr 2001,Colorado,13
Apr 2001,Connecticut,53
Apr 2001,Florida,521
Apr 2001,Georgia,882
Apr 2001,Hawaii,42
Apr 2001,Idaho,17
Apr 2001,Illinois,14
Apr 2001,Indiana,33
Apr 2001,Iowa,1
Apr 2001,Kansas,22
Apr 2001,Kentucky,516
Apr 2001,Louisiana,119
Apr 2001,Maine,235
Apr 2001,Maryland,1
Apr 2001,Michigan,112
Apr 2001,Minnesota,656
Apr 2001,Mississippi,363
Apr 2001,Missouri,174
Apr 2001,Montana,82
Apr 2001,Nebraska,14
Apr 2001,Nevada,10
Apr 2001,New Hampshire,60
Apr 2001,New Jersey,216
Apr 2001,New Mexico,114
Apr 2001,New York,764
Apr 2001,North Carolina,1107
Apr 2001,North Dakota,277
Apr 2001,Ohio,15
Apr 2001,Oklahoma,238
Apr 2001,Oregon,17
Apr 2001,Pennsylvania,12
Apr 2001,South Carolina,751
Apr 2001,South Dakota,123
Apr 2001,Tennessee,488
Apr 2001,Texas,70
Apr 2001,Utah,20
Apr 2001,Virginia,273
Apr 2001,Washington,47
Apr 2001,West Virginia,345
Apr 2001,Wisconsin,426
Apr 2001,Wyoming,22
Apr 2002,Alabama,334
Apr 2002,Alaska,20
Apr 2002,Arizona,355
Apr 2002,Arkansas,130
Apr 2002,California,330
Apr 2002,Colorado,63
Apr 2002,Connecticut,29
Apr 2002,Delaware,4
Apr 2002,Florida,391
Apr 2002,Georgia,726
Apr 2002,Hawaii,27
Apr 2002,Idaho,19
