DATE,STATE,frequency,Name,latitude,longitude
1992-01,Alabama,9,Alabama,32.8551,-86.7184
1992-02,Alabama,27,Alabama,32.8551,-86.7184
1992-03,Alabama,14,Alabama,32.8551,-86.7184
1992-04,Alabama,18,Alabama,32.8551,-86.7184
1992-05,Alabama,10,Alabama,32.8551,-86.7184
1992-08,Alabama,2,Alabama,32.8551,-86.7184
1992-09,Alabama,1,Alabama,32.8551,-86.7184
1992-10,Alabama,4,Alabama,32.8551,-86.7184
1992-11,Alabama,6,Alabama,32.8551,-86.7184
1992-12,Alabama,2,Alabama,32.8551,-86.7184
1993-01,Alabama,18,Alabama,32.8551,-86.7184
1993-02,Alabama,34,Alabama,32.8551,-86.7184
1993-03,Alabama,24,Alabama,32.8551,-86.7184
1993-04,Alabama,14,Alabama,32.8551,-86.7184
1993-06,Alabama,3,Alabama,32.8551,-86.7184
1993-07,Alabama,13,Alabama,32.8551,-86.7184
1993-08,Alabama,3,Alabama,32.8551,-86.7184
1993-09,Alabama,4,Alabama,32.8551,-86.7184
1993-10,Alabama,12,Alabama,32.8551,-86.7184
1993-11,Alabama,7,Alabama,32.8551,-86.7184
1993-12,Alabama,5,Alabama,32.8551,-86.7184
1994-01,Alabama,429,Alabama,32.8551,-86.7184
1994-02,Alabama,705,Alabama,32.8551,-86.7184
1994-03,Alabama,1180,Alabama,32.8551,-86.7184
1994-04,Alabama,264,Alabama,32.8551,-86.7184
1994-05,Alabama,226,Alabama,32.8551,-86.7184
1994-06,Alabama,42,Alabama,32.8551,-86.7184
1994-07,Alabama,15,Alabama,32.8551,-86.7184
1994-08,Alabama,47,Alabama,32.8551,-86.7184
1994-09,Alabama,97,Alabama,32.8551,-86.7184
1994-10,Alabama,36,Alabama,32.8551,-86.7184
1994-11,Alabama,260,Alabama,32.8551,-86.7184
1994-12,Alabama,151,Alabama,32.8551,-86.7184
1995-01,Alabama,184,Alabama,32.8551,-86.7184
1995-02,Alabama,718,Alabama,32.8551,-86.7184
1995-03,Alabama,716,Alabama,32.8551,-86.7184
1995-04,Alabama,602,Alabama,32.8551,-86.7184
1995-05,Alabama,172,Alabama,32.8551,-86.7184
1995-06,Alabama,170,Alabama,32.8551,-86.7184
1995-07,Alabama,382,Alabama,32.8551,-86.7184
1995-08,Alabama,338,Alabama,32.8551,-86.7184
1995-09,Alabama,495,Alabama,32.8551,-86.7184
1995-10,Alabama,167,Alabama,32.8551,-86.7184
1995-11,Alabama,66,Alabama,32.8551,-86.7184
1995-12,Alabama,220,Alabama,32.8551,-86.7184
1996-01,Alabama,248,Alabama,32.8551,-86.7184
1996-02,Alabama,1116,Alabama,32.8551,-86.7184
1996-03,Alabama,1095,Alabama,32.8551,-86.7184
1996-04,Alabama,541,Alabama,32.8551,-86.7184
1996-05,Alabama,306,Alabama,32.8551,-86.7184
1996-06,Alabama,85,Alabama,32.8551,-86.7184
1996-07,Alabama,236,Alabama,32.8551,-86.7184
1996-08,Alabama,62,Alabama,32.8551,-86.7184
1996-09,Alabama,31,Alabama,32.8551,-86.7184
1996-10,Alabama,99,Alabama,32.8551,-86.7184
1996-11,Alabama,113,Alabama,32.8551,-86.7184
1996-12,Alabama,116,Alabama,32.8551,-86.7184
1997-01,Alabama,204,Alabama,32.8551,-86.7184
1997-02,Alabama,214,Alabama,32.8551,-86.7184
1997-03,Alabama,600,Alabama,32.8551,-86.7184
1997-04,Alabama,417,Alabama,32.8551,-86.7184
1997-05,Alabama,158,Alabama,32.8551,-86.7184
1997-06,Alabama,7,Alabama,32.8551,-86.7184
1997-07,Alabama,33,Alabama,32.8551,-86.7184
1997-08,Alabama,60,Alabama,32.8551,-86.7184
1997-09,Alabama,377,Alabama,32.8551,-86.7184
1997-10,Alabama,350,Alabama,32.8551,-86.7184
1997-11,Alabama,71,Alabama,32.8551,-86.7184
1997-12,Alabama,100,Alabama,32.8551,-86.7184
1998-01,Alabama,126,Alabama,32.8551,-86.7184
1998-02,Alabama,366,Alabama,32.8551,-86.7184
1998-03,Alabama,738,Alabama,32.8551,-86.7184
1998-04,Alabama,151,Alabama,32.8551,-86.7184
1998-05,Alabama,217,Alabama,32.8551,-86.7184
1998-06,Alabama,281,Alabama,32.8551,-86.7184
1998-07,Alabama,105,Alabama,32.8551,-86.7184
1998-08,Alabama,147,Alabama,32.8551,-86.7184
1998-09,Alabama,536,Alabama,32.8551,-86.7184
1998-10,Alabama,593,Alabama,32.8551,-86.7184
1998-11,Alabama,192,Alabama,32.8551,-86.7184
1998-12,Alabama,114,Alabama,32.8551,-86.7184
1999-01,Alabama,187,Alabama,32.8551,-86.7184
1999-02,Alabama,469,Alabama,32.8551,-86.7184
1999-03,Alabama,655,Alabama,32.8551,-86.7184
1999-04,Alabama,565,Alabama,32.8551,-86.7184
1999-05,Alabama,173,Alabama,32.8551,-86.7184
1999-06,Alabama,50,Alabama,32.8551,-86.7184
1999-07,Alabama,38,Alabama,32.8551,-86.7184
1999-08,Alabama,427,Alabama,32.8551,-86.7184
1999-09,Alabama,971,Alabama,32.8551,-86.7184
1999-10,Alabama,323,Alabama,32.8551,-86.7184
1999-11,Alabama,378,Alabama,32.8551,-86.7184
1999-12,Alabama,265,Alabama,32.8551,-86.7184
2000-01,Alabama,261,Alabama,32.8551,-86.7184
2000-02,Alabama,1156,Alabama,32.8551,-86.7184
2000-03,Alabama,665,Alabama,32.8551,-86.7184
2000-04,Alabama,244,Alabama,32.8551,-86.7184
2000-05,Alabama,515,Alabama,32.8551,-86.7184
2000-06,Alabama,332,Alabama,32.8551,-86.7184
2000-07,Alabama,900,Alabama,32.8551,-86.7184
2000-08,Alabama,713,Alabama,32.8551,-86.7184
2000-09,Alabama,442,Alabama,32.8551,-86.7184
2000-10,Alabama,761,Alabama,32.8551,-86.7184
2000-11,Alabama,168,Alabama,32.8551,-86.7184
2000-12,Alabama,107,Alabama,32.8551,-86.7184
2001-01,Alabama,262,Alabama,32.8551,-86.7184
2001-02,Alabama,639,Alabama,32.8551,-86.7184
2001-03,Alabama,309,Alabama,32.8551,-86.7184
2001-04,Alabama,316,Alabama,32.8551,-86.7184
2001-05,Alabama,313,Alabama,32.8551,-86.7184
2001-06,Alabama,42,Alabama,32.8551,-86.7184
2001-07,Alabama,52,Alabama,32.8551,-86.7184
2001-08,Alabama,48,Alabama,32.8551,-86.7184
2001-09,Alabama,61,Alabama,32.8551,-86.7184
2001-10,Alabama,272,Alabama,32.8551,-86.7184
2001-11,Alabama,881,Alabama,32.8551,-86.7184
2001-12,Alabama,114,Alabama,32.8551,-86.7184
2002-01,Alabama,149,Alabama,32.8551,-86.7184
2002-02,Alabama,794,Alabama,32.8551,-86.7184
2002-03,Alabama,657,Alabama,32.8551,-86.7184
2002-04,Alabama,334,Alabama,32.8551,-86.7184
2002-05,Alabama,224,Alabama,32.8551,-86.7184
2002-06,Alabama,179,Alabama,32.8551,-86.7184
2002-07,Alabama,60,Alabama,32.8551,-86.7184
2002-08,Alabama,153,Alabama,32.8551,-86.7184
2002-09,Alabama,253,Alabama,32.8551,-86.7184
2002-10,Alabama,11,Alabama,32.8551,-86.7184
2002-11,Alabama,35,Alabama,32.8551,-86.7184
2002-12,Alabama,77,Alabama,32.8551,-86.7184
2003-01,Alabama,348,Alabama,32.8551,-86.7184
2003-02,Alabama,155,Alabama,32.8551,-86.7184
2003-03,Alabama,228,Alabama,32.8551,-86.7184
2003-04,Alabama,200,Alabama,32.8551,-86.7184
2003-05,Alabama,31,Alabama,32.8551,-86.7184
2003-06,Alabama,18,Alabama,32.8551,-86.7184
2003-07,Alabama,16,Alabama,32.8551,-86.7184
2003-08,Alabama,32,Alabama,32.8551,-86.7184
2003-09,Alabama,92,Alabama,32.8551,-86.7184
2003-10,Alabama,209,Alabama,32.8551,-86.7184
2003-11,Alabama,294,Alabama,32.8551,-86.7184
2003-12,Alabama,201,Alabama,32.8551,-86.7184
2004-01,Alabama,267,Alabama,32.8551,-86.7184
2004-02,Alabama,301,Alabama,32.8551,-86.7184
2004-03,Alabama,1431,Alabama,32.8551,-86.7184
2004-04,Alabama,569,Alabama,32.8551,-86.7184
2004-05,Alabama,78,Alabama,32.8551,-86.7184
2004-06,Alabama,14,Alabama,32.8551,-86.7184
2004-07,Alabama,30,Alabama,32.8551,-86.7184
2004-08,Alabama,73,Alabama,32.8551,-86.7184
2004-09,Alabama,94,Alabama,32.8551,-86.7184
2004-10,Alabama,76,Alabama,32.8551,-86.7184
2004-11,Alabama,30,Alabama,32.8551,-86.7184
2004-12,Alabama,91,Alabama,32.8551,-86.7184
2005-01,Alabama,341,Alabama,32.8551,-86.7184
2005-02,Alabama,206,Alabama,32.8551,-86.7184
2005-03,Alabama,480,Alabama,32.8551,-86.7184
2005-04,Alabama,193,Alabama,32.8551,-86.7184
2005-05,Alabama,128,Alabama,32.8551,-86.7184
2005-06,Alabama,20,Alabama,32.8551,-86.7184
2005-07,Alabama,17,Alabama,32.8551,-86.7184
2005-08,Alabama,34,Alabama,32.8551,-86.7184
2005-09,Alabama,170,Alabama,32.8551,-86.7184
2005-10,Alabama,309,Alabama,32.8551,-86.7184
2005-11,Alabama,476,Alabama,32.8551,-86.7184
2005-12,Alabama,173,Alabama,32.8551,-86.7184
2006-01,Alabama,388,Alabama,32.8551,-86.7184
2006-02,Alabama,264,Alabama,32.8551,-86.7184
2006-03,Alabama,1080,Alabama,32.8551,-86.7184
2006-04,Alabama,483,Alabama,32.8551,-86.7184
2006-05,Alabama,120,Alabama,32.8551,-86.7184
2006-06,Alabama,444,Alabama,32.8551,-86.7184
2006-07,Alabama,413,Alabama,32.8551,-86.7184
2006-08,Alabama,167,Alabama,32.8551,-86.7184
2006-09,Alabama,137,Alabama,32.8551,-86.7184
2006-10,Alabama,159,Alabama,32.8551,-86.7184
2006-11,Alabama,88,Alabama,32.8551,-86.7184
2006-12,Alabama,204,Alabama,32.8551,-86.7184
2007-01,Alabama,76,Alabama,32.8551,-86.7184
2007-02,Alabama,492,Alabama,32.8551,-86.7184
2007-03,Alabama,1062,Alabama,32.8551,-86.7184
2007-04,Alabama,233,Alabama,32.8551,-86.7184
2007-05,Alabama,495,Alabama,32.8551,-86.7184
2007-06,Alabama,402,Alabama,32.8551,-86.7184
2007-07,Alabama,79,Alabama,32.8551,-86.7184
2007-08,Alabama,417,Alabama,32.8551,-86.7184
2007-09,Alabama,128,Alabama,32.8551,-86.7184
2007-10,Alabama,240,Alabama,32.8551,-86.7184
2007-11,Alabama,133,Alabama,32.8551,-86.7184
2007-12,Alabama,76,Alabama,32.8551,-86.7184
2008-01,Alabama,108,Alabama,32.8551,-86.7184
2008-02,Alabama,247,Alabama,32.8551,-86.7184
2008-03,Alabama,477,Alabama,32.8551,-86.7184
2008-04,Alabama,128,Alabama,32.8551,-86.7184
2008-05,Alabama,85,Alabama,32.8551,-86.7184
2008-06,Alabama,172,Alabama,32.8551,-86.7184
